,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Porto-Novo,40,BJ,1605074469,94,6.5,2.6,78.8,3.36
1,Albany,0,US,1605074362,69,42.6,-73.97,61.0,5.7
2,Gumdag,100,TM,1605074472,69,39.21,54.59,56.08,5.55
3,Ereymentau,100,KZ,1605074474,94,51.62,73.1,36.16,27.67
4,Arraial do Cabo,97,BR,1605074337,94,-22.97,-42.03,72.97,7.63
5,New Norfolk,50,AU,1605074297,25,-42.78,147.06,90.0,4.0
6,East London,20,ZA,1605074376,77,-33.02,27.91,62.6,3.36
7,Ajdabiya,1,LY,1605074478,83,30.76,20.23,62.67,5.14
8,Rikitea,0,PF,1605074308,77,-23.12,-134.97,73.47,19.95
9,Punta Arenas,40,CL,1605074305,87,-53.15,-70.92,50.0,5.82
10,Östersund,90,SE,1605074482,100,63.18,14.64,28.4,4.7
11,Chokurdakh,91,RU,1605074483,92,70.63,147.92,-7.08,0.81
12,Narsaq,100,GL,1605074118,92,60.92,-46.05,20.52,4.9
13,Ushuaia,40,AR,1605074293,61,-54.8,-68.3,48.2,10.29
14,Carnarvon,0,AU,1605074347,49,-24.87,113.63,73.4,19.46
15,Dali,6,CN,1605074488,44,25.7,100.18,67.01,0.98
16,Baraboo,90,US,1605074398,89,43.47,-89.74,36.0,20.8
17,Bambous Virieux,40,MU,1605074491,69,-20.34,57.76,79.0,13.87
18,Hobart,0,AU,1605074142,25,-42.88,147.33,91.99,13.87
19,Upernavik,100,GL,1605074372,91,72.79,-56.15,12.78,3.6
20,Kapaa,40,US,1605074349,78,22.08,-159.32,78.8,19.46
21,Serenje,49,ZM,1605074495,37,-13.23,30.24,79.14,8.01
22,Constitución,25,CL,1605074497,92,-35.33,-72.42,51.51,2.26
23,Cape Town,0,ZA,1605074153,71,-33.93,18.42,64.99,3.36
24,Khanbari,0,NP,1605074499,31,27.37,87.2,78.91,4.34
25,Provideniya,75,RU,1605074395,86,64.38,-173.3,33.8,6.71
26,Vaini,20,TO,1605074335,74,-21.2,-175.2,78.8,9.17
27,Evensk,43,RU,1605074502,84,61.95,159.23,0.36,8.39
28,Bluff,58,NZ,1605074371,78,-46.6,168.33,55.99,8.99
29,Dikson,29,RU,1605074407,94,73.51,80.55,6.01,15.26
30,Adrar,0,MR,1605074392,22,20.5,-10.07,72.97,3.94
